year,industry_code,industry_name_en,variable,mean,n
2001,C,Manufacturing,SLoan,0.1738,638
2001,C,Manufacturing,LLoan,0.0545,638
2001,C,Manufacturing,Lev,0.4523,638
2001,C,Manufacturing,Cash,0.1797,638
2001,C,Manufacturing,ROA,0.0091,638
2001,C,Manufacturing,ROE,0.0285,638
2001,D,Power/Gas/Water,SLoan,0.0806,44
2001,D,Power/Gas/Water,LLoan,0.0883,44
2001,D,Power/Gas/Water,Lev,0.3469,44
2001,D,Power/Gas/Water,Cash,0.1543,44
2001,D,Power/Gas/Water,ROA,0.0529,44
2001,D,Power/Gas/Water,ROE,0.0841,44
2001,G,Transport/Storage,SLoan,0.1946,67
2001,G,Transport/Storage,LLoan,0.0274,67
2001,G,Transport/Storage,Lev,0.4708,67
2001,G,Transport/Storage,Cash,0.2379,67
2001,G,Transport/Storage,ROA,0.0208,67
2001,G,Transport/Storage,ROE,0.0856,67
2001,E,Construction,SLoan,0.1744,18
2001,E,Construction,LLoan,0.0405,18
2001,E,Construction,Lev,0.5885,18
2001,E,Construction,Cash,0.1585,18
2001,E,Construction,ROA,0.0085,18
2001,E,Construction,ROE,0.0137,18
2001,K,Real Estate,SLoan,0.1028,35
2001,K,Real Estate,LLoan,0.062,35
2001,K,Real Estate,Lev,0.3576,35
2001,K,Real Estate,Cash,0.1911,35
2001,K,Real Estate,ROA,0.0386,35
2001,K,Real Estate,ROE,0.0636,35
2001,F,Wholesale/Retail,SLoan,0.1023,47
2001,F,Wholesale/Retail,LLoan,0.0854,47
2001,F,Wholesale/Retail,Lev,0.3572,47
2001,F,Wholesale/Retail,Cash,0.1739,47
2001,F,Wholesale/Retail,ROA,0.0443,47
2001,F,Wholesale/Retail,ROE,0.0661,47
2001,J,Finance,SLoan,0.2242,59
2001,J,Finance,LLoan,0.0387,59
2001,J,Finance,Lev,0.533,59
2001,J,Finance,Cash,0.14,59
2001,J,Finance,ROA,-0.0001,59
2001,J,Finance,ROE,-0.0117,59
2003,C,Manufacturing,SLoan,0.1916,716
2003,C,Manufacturing,LLoan,0.0547,716
2003,C,Manufacturing,Lev,0.4927,717
2003,C,Manufacturing,Cash,0.1592,717
2003,C,Manufacturing,ROA,0.0166,717
2003,C,Manufacturing,ROE,0.0391,717
2003,D,Power/Gas/Water,SLoan,0.1041,50
2003,D,Power/Gas/Water,LLoan,0.138,50
2003,D,Power/Gas/Water,Lev,0.4191,50
2003,D,Power/Gas/Water,Cash,0.1203,50
2003,D,Power/Gas/Water,ROA,0.0438,50
2003,D,Power/Gas/Water,ROE,0.0719,50
2003,G,Transport/Storage,SLoan,0.2007,82
2003,G,Transport/Storage,LLoan,0.0207,82
2003,G,Transport/Storage,Lev,0.492,82
